screen_time_hrs,unlocks_per_day,night_usage,social_media_hrs,app_switches_hr,notifications_day,sleep_hours,age,risk_level
8.01,35,0,3.91,14,193,4.9,44,High
10.76,73,0,1.87,54,29,7.9,21,Medium
6.19,196,1,2.39,7,55,6.01,52,Medium
2.32,193,0,5.15,74,21,3.43,32,High
8.85,68,0,0.05,55,79,4.88,38,Medium
9.37,118,1,3.53,23,26,8.61,39,High
7.17,130,0,3.59,46,156,8.1,33,High
9.48,42,1,2.38,39,163,8.89,30,Medium
6.43,190,0,1.42,50,117,6.77,25,Low
6.75,159,1,1.41,30,245,4.49,28,High
5.7,30,0,5.3,73,79,3.98,21,High
1.28,79,0,2.65,68,192,4.12,24,Medium
2.19,121,1,1.99,41,259,3.12,56,High
1.35,13,0,2.69,53,237,5.34,50,Medium
8.0,103,1,4.02,25,111,4.15,31,High
4.46,84,0,0.87,78,84,5.47,19,Low
6.59,199,1,2.7,68,225,8.61,47,High
10.98,71,1,3.53,9,212,5.58,30,High
3.74,103,1,5.69,74,201,8.27,28,High
5.51,104,1,1.52,8,258,6.63,51,Medium
9.31,161,0,2.16,43,251,4.48,16,High
3.52,64,0,2.28,39,188,5.14,37,Low
1.85,146,1,3.63,5,228,3.5,44,High
4.19,140,1,2.14,28,91,5.0,52,Medium
2.77,40,1,3.2,61,101,7.07,25,Medium
11.23,49,0,4.69,74,184,3.43,57,High
9.89,45,0,4.23,45,248,4.23,29,High
7.97,161,0,2.68,58,269,5.29,49,High
10.59,15,0,5.19,50,172,8.89,18,High
9.84,75,1,3.35,64,57,7.71,31,Medium
3.05,84,1,3.24,64,125,7.4,25,Medium
10.82,13,1,0.21,61,234,3.7,38,High
6.93,88,0,5.92,35,156,7.69,26,Medium
9.88,143,0,0.74,28,72,7.71,43,Medium
10.86,127,0,1.39,40,22,6.61,16,Medium
4.5,122,1,0.31,34,198,8.94,51,Medium
2.21,103,1,3.84,28,296,4.95,20,High
3.51,188,0,1.35,34,217,8.65,37,Medium
5.7,71,1,1.08,11,123,8.49,25,Low
10.0,194,0,0.53,39,31,3.07,44,High
10.47,88,0,0.62,59,223,5.7,50,High
1.08,145,1,3.51,18,180,8.86,50,Medium
6.62,35,0,4.13,14,63,3.62,40,Medium
5.59,188,1,2.38,20,135,6.29,42,Medium
3.44,182,0,2.88,58,286,8.87,15,Medium
2.32,53,1,4.12,74,213,6.33,40,Medium
4.71,142,1,0.1,48,203,4.14,15,High
11.37,79,1,1.94,77,178,6.49,57,Medium
4.56,163,0,5.84,49,161,4.23,46,High
6.71,127,0,3.48,60,44,6.12,28,Medium
8.73,77,1,1.53,61,193,3.44,34,High
5.0,28,1,3.13,25,295,6.63,44,Medium
11.69,29,0,2.06,72,66,6.1,50,Medium
11.59,122,0,3.19,54,231,7.44,20,High
3.77,149,0,0.75,37,172,6.78,20,Low
6.47,56,1,0.8,11,28,6.3,18,Low
4.31,10,0,0.86,74,273,7.14,26,Low
4.13,99,0,5.64,19,291,3.86,44,High
1.41,151,1,4.4,36,122,6.57,47,Medium
7.71,73,0,0.97,79,39,4.03,22,Medium
6.53,47,0,1.13,24,144,8.55,15,Low
1.57,46,0,4.38,19,76,3.41,24,Medium
4.07,135,1,0.94,52,74,5.58,43,Medium
10.99,148,1,1.41,75,34,7.17,41,High
3.64,109,1,5.78,25,46,5.75,17,High
2.59,86,1,1.53,46,10,3.55,37,Medium
6.38,12,1,3.97,30,46,6.32,53,Low
11.84,170,1,5.87,18,150,6.85,43,High
3.66,143,1,2.25,61,241,7.22,33,Medium
8.39,187,0,0.11,41,145,5.24,32,High
9.38,19,0,1.46,62,197,6.38,51,Medium
3.61,14,1,4.99,25,137,5.7,34,Medium
9.01,160,0,5.19,73,210,7.03,16,High
5.05,147,0,4.61,7,136,6.5,25,Medium
7.96,181,1,0.68,41,266,6.15,57,High
7.97,139,0,4.77,53,173,4.5,54,High
6.89,22,0,5.51,23,44,3.01,32,Medium
1.99,177,0,3.6,16,203,4.04,25,High
10.19,139,0,5.65,65,200,3.7,29,High
4.53,93,0,4.96,45,113,5.69,48,Medium
3.05,74,1,4.0,37,32,6.67,45,Low
1.45,72,1,3.46,54,274,4.28,13,High
7.5,110,1,2.09,72,299,8.63,27,High
8.45,82,0,0.96,75,269,3.04,25,High
1.18,26,1,3.63,37,84,7.63,29,Low
6.63,18,0,1.91,28,81,6.75,36,Low
3.49,152,0,5.2,65,268,5.24,20,High
8.1,161,0,5.96,65,197,3.3,39,High
2.92,47,0,4.51,32,182,6.76,57,Low
8.6,172,1,0.54,62,299,5.31,35,High
5.25,103,1,1.73,47,54,8.62,58,Low
11.3,104,0,0.65,45,70,6.25,20,Medium
2.51,58,1,3.9,43,92,8.64,20,Low
4.75,78,0,4.59,53,132,4.32,38,Medium
2.25,71,1,5.55,21,25,7.35,59,Medium
11.17,197,1,2.63,74,75,6.7,25,High
10.65,187,0,5.41,74,154,7.44,51,High
3.84,87,1,5.27,69,171,4.29,49,High
8.26,126,0,1.9,78,243,6.99,40,High
9.99,129,1,5.21,9,153,5.99,37,High
7.11,146,0,2.25,6,197,7.46,28,Medium
6.83,171,0,1.78,26,22,4.96,14,Medium
3.66,85,1,3.89,61,193,8.34,30,Medium
2.02,44,1,1.97,70,120,3.51,29,Medium
10.87,10,0,3.78,78,299,7.84,42,High
10.9,49,1,3.66,20,224,8.17,51,High
7.96,73,1,3.38,55,129,7.9,25,Medium
4.73,159,0,2.28,43,64,6.08,44,Low
4.84,69,0,3.29,44,36,5.63,41,Medium
8.99,73,1,3.58,42,127,8.98,58,Medium
10.87,102,0,3.27,64,230,4.38,42,High
10.76,81,0,2.67,63,240,6.28,30,Medium
9.58,20,0,0.09,14,62,7.02,25,Low
8.06,114,1,3.52,68,242,7.21,55,High
1.93,23,1,1.01,67,167,4.22,33,Medium
2.78,69,0,3.86,53,278,6.92,42,Medium
10.88,39,1,4.56,68,30,7.91,33,High
7.67,44,0,3.0,36,62,3.3,29,Medium
1.1,174,1,3.25,11,284,8.47,52,High
2.12,14,0,5.71,25,290,3.18,31,High
8.3,92,0,5.08,24,223,5.14,27,High
1.06,132,1,5.49,30,40,3.09,21,High
2.77,87,0,4.88,72,192,3.46,22,High
7.04,163,1,0.65,19,32,8.47,56,Medium
8.61,71,1,0.89,18,41,5.13,43,Medium
8.17,141,0,3.16,31,83,5.55,35,High
3.47,98,0,1.48,44,19,4.29,42,Low
8.83,51,1,2.86,62,63,6.58,45,Medium
3.61,98,0,2.37,32,61,6.57,21,Low
4.58,155,0,3.3,30,157,5.23,59,High
9.21,49,0,4.48,67,169,5.0,13,High
8.15,81,0,4.29,70,23,8.31,56,Medium
10.34,48,0,3.13,29,187,5.3,47,High
8.23,113,1,4.93,7,62,5.96,23,High
7.25,23,1,2.59,76,31,4.7,46,High
2.03,41,0,5.38,48,39,7.72,28,Low
5.04,188,0,0.43,46,200,5.38,21,Medium
3.92,134,0,5.73,10,269,6.08,44,High
3.68,175,1,3.93,43,214,4.52,27,High
11.7,106,0,2.28,56,68,8.93,24,Medium
5.32,32,1,1.18,27,273,4.75,45,Medium
10.81,72,1,2.88,54,21,7.62,57,Medium
7.94,152,1,1.17,47,128,5.56,26,High
9.74,162,0,1.0,23,299,4.24,20,High
6.53,154,1,3.7,73,257,7.8,20,High
7.35,62,0,3.14,55,136,5.0,39,High
6.42,113,1,4.02,15,84,8.19,24,Medium
3.15,113,0,5.58,16,213,8.49,13,Medium
8.95,188,1,3.19,78,58,8.16,55,High
4.09,48,0,3.49,12,88,3.21,52,Medium
1.27,188,1,0.54,28,250,7.72,54,Medium
8.1,143,0,4.31,45,163,5.47,23,High
2.95,76,0,2.4,40,283,8.24,51,Low
11.35,144,0,5.86,76,105,6.83,55,High
11.49,188,0,4.94,59,223,8.0,43,High
11.06,51,1,3.13,13,218,6.0,29,High
5.07,24,1,0.74,51,97,6.21,45,Low
1.17,120,0,5.16,19,273,3.87,44,High
11.21,166,1,4.8,52,166,7.7,41,High
5.71,42,0,1.11,46,165,5.52,33,Low
11.63,164,0,1.77,64,148,6.0,33,High
11.6,173,1,4.76,74,130,7.71,52,High
10.38,166,0,1.11,16,74,6.59,35,Medium
4.24,47,0,5.51,6,116,4.21,18,Medium
5.24,194,1,2.55,11,156,6.54,34,Medium
10.36,106,0,0.52,7,146,5.45,50,High
4.49,164,0,4.89,7,171,5.82,49,High
2.86,192,0,2.24,31,109,3.17,57,Medium
7.12,42,0,3.16,44,150,4.26,20,High
11.3,95,1,0.67,37,92,4.69,53,High
8.66,75,1,0.02,5,186,7.28,47,Medium
7.27,19,1,3.83,12,207,3.07,23,High
2.07,14,0,3.09,36,121,5.45,36,Medium
7.77,132,0,3.56,52,65,8.54,33,High
11.89,83,1,4.76,8,188,3.67,14,High
2.54,106,0,3.88,74,195,6.1,52,Medium
6.7,127,0,1.05,23,227,7.72,31,Medium
10.65,47,0,2.16,36,226,8.66,51,Medium
9.15,150,0,5.44,13,129,7.48,40,High
8.67,168,1,4.62,16,184,7.32,29,High
8.73,56,1,3.34,15,32,7.96,18,Medium
4.95,118,1,1.53,50,222,5.68,31,High
4.23,189,0,1.81,20,244,7.84,50,Medium
9.9,193,1,4.39,5,22,3.05,40,High
9.91,24,1,5.11,67,110,8.55,14,High
10.54,166,0,4.03,25,33,5.66,50,High
11.05,145,0,4.86,34,20,6.32,49,High
6.62,14,1,4.6,17,282,4.53,16,High
6.52,166,1,0.9,38,290,7.46,34,Medium
9.78,56,1,2.54,8,103,3.46,38,Medium
8.15,77,1,0.92,32,210,8.24,55,Medium
8.72,85,0,1.41,63,30,7.97,48,Low
9.75,182,1,5.22,31,220,4.3,25,High
10.79,139,1,2.84,73,149,7.86,44,High
4.72,164,0,3.21,29,110,7.72,29,Medium
5.13,104,1,1.07,7,37,6.79,53,Low
2.03,124,0,1.87,72,50,5.24,48,Medium
7.36,173,0,1.38,29,155,4.63,58,High
1.4,45,0,1.24,24,265,4.39,31,Medium
6.12,35,1,3.83,38,236,4.91,47,High
6.97,52,1,1.54,30,245,8.42,58,Low
4.15,36,0,3.79,9,22,3.47,52,Medium
7.5,78,1,0.35,65,219,7.97,40,Medium
1.34,157,1,0.85,13,238,5.09,13,High
1.41,20,0,1.65,54,109,6.13,54,Low
10.05,83,0,3.58,10,40,7.77,30,Medium
4.96,113,1,4.06,64,25,8.31,52,Medium
2.4,47,0,2.66,48,146,5.07,45,Low
6.74,143,1,2.67,15,175,5.77,24,Medium
9.47,32,1,4.35,70,109,5.49,20,High
3.37,56,1,0.09,51,118,3.08,36,Medium
7.85,99,1,2.05,77,182,4.78,28,High
1.94,55,0,4.91,7,246,5.76,16,Medium
1.57,116,0,3.62,34,171,5.47,50,High
6.84,149,0,2.02,25,225,7.33,56,Medium
6.95,150,0,5.43,32,273,5.31,39,High
8.01,113,1,4.64,66,272,5.94,21,High
8.99,199,1,1.59,37,283,5.58,59,High
11.73,120,0,3.87,39,12,7.44,28,High
6.68,113,1,3.57,56,37,8.18,24,Medium
4.55,69,1,2.41,38,158,6.19,43,Low
9.75,180,1,2.2,45,37,7.74,36,Medium
3.98,109,0,2.06,55,74,4.78,26,Medium
5.83,77,0,3.7,51,30,6.25,57,Low
1.86,142,0,2.65,62,261,5.07,37,High
1.28,129,1,4.99,79,244,5.49,46,High
11.59,46,0,4.02,61,236,7.39,15,High
10.2,81,0,0.42,27,22,8.29,36,Low
8.66,136,0,3.84,52,58,3.73,54,High
5.5,115,0,1.63,26,127,6.81,21,Low
2.91,101,0,3.56,21,63,6.49,38,Medium
2.72,40,0,4.08,73,147,3.71,32,Medium
3.75,131,1,1.38,15,62,4.27,52,Medium
7.04,146,1,2.74,19,53,4.87,22,High
8.86,60,0,1.14,39,62,4.0,31,Medium
8.26,38,0,0.31,37,83,4.46,15,Medium
4.08,49,1,2.27,20,55,4.61,36,Medium
11.5,50,1,2.18,38,22,5.01,17,Medium
9.12,20,0,5.97,70,174,7.5,15,High
7.1,160,0,2.68,44,111,6.43,39,Medium
7.73,10,0,2.0,32,289,8.92,28,Medium
5.62,55,0,3.48,51,267,5.49,27,High
3.73,110,1,0.53,43,147,7.52,47,Low
4.92,158,0,5.77,74,172,8.23,24,High
9.34,99,0,3.81,77,120,7.07,53,Medium
1.16,119,0,4.53,24,111,5.47,56,Medium
2.28,173,0,1.02,5,26,7.52,38,Low
1.51,191,1,2.46,76,277,4.22,59,High
1.45,66,1,2.54,67,191,4.97,46,Medium
10.41,10,1,4.93,71,33,6.28,35,High
8.74,72,0,0.01,8,38,6.45,43,Low
6.22,191,0,1.81,62,180,3.13,32,High
2.08,64,1,5.89,29,237,8.67,24,Medium
6.41,124,0,2.85,51,197,7.18,35,Medium
6.21,177,0,2.3,42,239,5.97,16,High
2.91,152,1,0.72,19,128,8.6,35,Medium
5.77,158,1,5.84,67,165,5.63,13,High
5.38,184,1,0.12,25,281,8.88,37,Medium
7.77,62,1,4.42,61,184,6.07,14,High
7.99,146,0,4.61,57,113,3.69,42,High
1.5,189,0,1.46,50,101,7.59,15,Low
5.12,66,1,4.03,18,195,7.07,33,Medium
7.88,126,0,0.56,21,292,7.64,37,Medium
6.53,163,1,1.54,43,190,8.71,32,Medium
10.42,178,1,4.73,13,179,7.66,34,High
8.25,44,0,5.19,10,196,6.67,33,Medium
2.79,72,1,3.65,27,184,8.14,45,Medium
1.78,34,0,3.04,63,231,7.04,50,Medium
8.07,99,0,0.96,50,242,5.45,27,Medium
1.29,84,0,0.38,42,171,8.31,58,Low
7.44,47,0,0.71,18,143,4.33,27,Medium
11.34,139,1,1.36,76,233,7.29,58,High
7.33,144,0,2.05,66,162,8.29,37,Medium
5.27,171,1,2.29,39,42,7.39,33,Medium
8.08,100,1,2.08,23,64,7.18,36,Low
6.04,26,1,1.43,34,16,7.52,17,Low
7.0,137,1,3.06,29,253,5.79,18,High
11.36,180,0,4.95,44,135,8.25,55,High
5.25,196,0,1.68,18,21,4.22,56,Medium
11.57,117,1,5.65,30,25,3.76,59,High
10.96,188,1,5.24,26,217,4.71,35,High
3.15,191,0,0.97,52,52,6.19,16,Medium
1.76,161,1,4.72,55,144,6.06,39,High
2.11,34,0,3.45,7,237,7.92,30,Medium
1.2,189,1,3.4,46,120,5.43,33,High
2.04,97,0,2.35,23,169,5.91,40,Low
8.51,170,1,3.01,77,273,3.08,47,High
1.78,186,1,2.38,32,234,5.46,34,High
4.51,38,0,3.24,49,226,6.89,52,Medium
10.29,72,1,3.77,75,54,3.09,35,High
1.26,159,1,4.05,67,223,4.69,15,High
9.96,163,0,3.19,77,68,4.25,52,High
4.1,165,1,4.33,23,141,3.25,22,High
2.3,123,0,0.85,51,113,5.88,37,Medium
8.66,58,0,1.27,18,204,4.09,20,Medium
7.92,90,1,4.91,42,166,7.46,23,Medium
10.65,93,1,1.94,57,107,8.09,17,Medium
9.09,114,1,0.14,65,235,6.27,57,High
9.84,186,1,0.92,40,214,8.89,49,High
4.1,157,1,1.34,44,88,5.7,57,Medium
2.95,127,1,5.74,34,133,6.08,50,Medium
9.26,95,1,3.44,13,227,8.94,41,High
9.88,72,0,5.6,68,13,4.39,17,High
11.9,198,1,3.45,37,99,8.66,21,High
5.54,113,0,2.88,56,113,3.26,14,Medium
5.09,58,1,1.88,18,128,5.68,13,Low
9.54,80,1,3.64,79,142,3.42,52,High
4.75,10,0,0.84,57,105,7.38,42,Low
11.24,150,1,5.39,63,152,6.65,23,High
10.44,188,1,4.98,45,297,7.24,40,High
5.72,132,0,1.91,72,37,5.25,56,Medium
9.26,193,1,5.72,72,287,5.22,24,High
9.3,71,1,4.95,12,242,3.27,51,High
2.13,41,1,4.0,6,26,5.1,38,Medium
10.93,167,0,0.73,45,68,8.58,25,Medium
6.56,38,1,2.87,59,99,5.28,20,Medium
10.09,58,1,3.04,20,208,7.99,40,High
4.52,182,1,1.4,66,35,8.05,42,Medium
10.85,39,1,0.48,52,34,5.24,21,High
5.28,153,0,4.66,34,276,6.79,51,High
1.12,177,0,0.73,16,190,3.57,43,High
10.96,28,1,3.57,39,77,3.62,33,High
2.0,27,1,5.62,15,58,3.29,59,High
4.51,10,0,5.26,68,184,6.49,46,Medium
11.45,87,0,1.67,54,61,5.56,43,Medium
11.46,124,1,5.11,25,111,6.29,37,High
7.31,184,0,0.0,73,225,6.13,24,High
7.95,122,1,0.11,52,197,5.1,13,High
5.93,123,0,3.62,24,66,7.06,34,Medium
4.23,175,0,2.19,71,56,7.55,52,Medium
4.62,188,0,2.32,48,168,3.09,49,High
8.4,72,0,3.39,37,183,4.24,59,High
9.28,141,1,1.15,77,251,7.28,13,High
9.71,138,0,1.27,65,291,5.32,13,High
9.69,17,0,2.91,13,250,6.97,54,Medium
2.0,166,1,4.53,72,14,5.08,54,High
6.44,64,0,3.72,39,93,5.34,33,Medium
1.63,112,0,1.78,69,257,3.95,27,High
7.04,140,1,2.58,12,63,4.55,29,High
5.86,41,0,1.02,49,170,6.63,34,Low
10.76,19,1,0.45,51,235,5.6,50,High
4.86,119,1,4.7,44,24,7.65,47,Medium
2.29,171,1,1.59,58,233,8.12,57,High
2.57,133,1,1.07,50,70,6.25,28,Low
9.38,96,0,4.15,51,131,7.55,20,Medium
7.8,64,1,3.71,19,286,4.84,59,High
2.11,41,0,3.8,23,55,5.49,29,Medium
1.93,187,0,1.37,30,71,7.28,29,Low
8.71,144,0,1.4,56,95,5.32,38,High
1.8,102,0,1.32,26,219,6.53,25,Low
10.04,17,0,1.04,25,87,4.11,29,Medium
8.77,74,0,3.93,55,211,6.6,50,Medium
1.89,66,0,5.09,42,232,8.17,29,Medium
1.93,76,0,4.35,24,231,8.21,26,Medium
11.85,196,0,4.75,33,12,7.35,57,High
5.12,81,0,2.43,55,15,7.47,18,Low
5.08,63,1,3.92,8,102,6.35,47,Low
9.94,76,1,2.13,59,17,6.51,58,Medium
11.42,60,1,3.15,75,244,3.8,26,High
11.85,106,0,2.89,32,117,5.66,59,High
9.29,101,1,1.06,8,170,5.7,20,High
5.14,17,1,2.32,26,218,8.75,27,Low
1.92,171,1,5.78,49,249,5.59,39,High
9.55,44,0,1.49,71,59,6.3,25,Low
7.14,105,0,0.8,70,20,6.2,43,Medium
5.67,97,0,2.51,38,165,6.82,47,Low
10.97,87,0,4.74,59,79,7.49,18,Medium
2.22,41,1,3.49,5,178,4.35,17,High
6.42,129,1,4.09,76,281,6.17,34,High
1.12,55,1,1.14,42,77,7.96,35,Low
6.16,153,1,3.71,10,261,5.78,37,High
1.62,174,0,1.94,29,57,4.67,46,Medium
2.31,191,0,5.01,21,193,6.93,38,High
2.29,151,0,3.78,65,196,7.94,59,High
8.14,64,1,1.19,16,99,3.38,17,Medium
9.21,185,0,0.39,10,148,7.66,38,Medium
7.42,16,0,0.26,31,98,7.93,32,Low
11.58,83,1,2.23,12,283,5.77,18,High
5.12,16,1,1.6,69,28,8.9,18,Low
4.14,170,0,3.88,61,163,7.72,30,High
10.55,160,0,3.0,44,269,7.64,16,High
3.46,94,0,1.6,18,117,7.49,29,Low
11.6,156,0,0.9,39,294,3.9,26,High
1.13,121,0,0.76,52,68,4.3,26,Medium
11.67,134,0,5.19,60,134,5.78,25,High
1.47,156,1,1.46,53,282,4.58,19,High
10.8,45,1,3.91,17,116,5.49,56,High
6.8,38,1,4.86,65,254,8.33,27,Medium
11.92,197,0,3.68,53,256,7.95,31,High
1.81,91,1,5.16,50,17,6.78,55,Medium
7.09,11,0,2.35,66,150,8.15,59,Low
11.66,138,0,5.74,12,17,7.7,56,High
6.75,56,1,0.8,47,103,5.57,47,Low
7.92,157,0,0.61,24,48,4.21,29,High
8.65,20,0,3.95,43,90,6.09,47,Medium
6.0,139,1,5.66,53,196,7.42,31,High
7.9,128,1,4.85,68,93,5.62,32,High
7.43,149,1,0.46,66,97,7.0,48,Medium
10.91,29,0,1.68,58,251,3.57,47,High
1.5,14,1,5.58,13,102,7.49,44,Medium
4.09,46,1,1.52,41,95,7.88,56,Low
11.45,175,0,4.69,53,53,7.24,52,High
10.79,146,1,4.95,45,146,8.8,36,High
6.01,62,1,2.97,21,83,7.96,29,Low
7.82,181,1,2.32,25,45,8.42,19,Medium
4.05,108,0,2.7,55,110,8.6,55,Low
3.07,95,0,1.36,63,165,7.81,13,Low
6.1,117,0,5.34,43,264,7.05,47,High
4.89,33,0,2.7,59,180,3.03,44,Medium
7.42,90,1,5.29,45,225,5.79,48,High
1.86,167,0,0.63,43,179,6.43,25,Medium
11.72,129,0,5.93,17,261,4.82,18,High
11.85,68,1,2.66,68,64,4.91,26,High
8.68,137,1,0.29,15,100,8.77,49,Medium
6.9,123,1,0.23,23,287,8.35,27,Medium
4.4,124,0,4.48,15,110,8.1,59,Medium
9.95,23,0,3.95,50,164,5.44,16,High
8.53,18,0,4.81,49,150,3.08,52,High
2.79,49,1,0.63,5,182,3.48,28,Medium
11.02,34,1,0.21,44,19,4.87,40,High
10.05,112,0,3.05,23,237,3.09,28,High
11.45,31,1,2.33,76,274,3.1,16,High
8.98,13,1,2.77,76,257,8.5,57,Medium
7.75,163,1,5.95,65,256,7.24,38,High
5.6,195,0,5.82,16,164,4.85,40,High
11.26,38,1,5.65,65,43,3.8,44,High
10.53,118,1,4.7,37,138,6.07,57,High
1.5,107,0,2.13,49,169,3.03,14,Medium
1.29,46,0,2.47,73,98,8.63,43,Low
5.14,84,1,3.3,12,102,5.49,15,Medium
9.92,79,1,4.98,29,250,5.41,20,High
11.86,155,0,0.41,50,126,5.34,36,High
2.65,137,0,2.55,34,103,3.42,27,Medium
7.54,94,1,0.5,51,172,6.83,55,Medium
5.19,51,1,3.09,53,108,7.4,43,Medium
11.67,109,1,5.39,51,122,7.06,21,High
10.26,50,1,4.69,22,100,3.83,51,High
10.22,175,0,1.37,70,215,6.47,57,High
6.16,43,1,5.86,72,26,6.42,14,Medium
5.56,26,1,4.0,37,283,8.21,20,Medium
4.01,174,0,0.06,40,182,5.27,19,Medium
1.62,162,1,1.53,23,125,5.23,56,Medium
10.51,131,0,1.56,32,190,6.71,51,Medium
9.94,85,1,0.42,44,100,6.8,54,Low
12.0,96,1,5.76,19,91,5.82,28,High
11.96,126,0,2.87,45,123,5.66,47,High
7.11,115,0,5.37,43,266,5.96,42,High
9.46,95,1,1.93,6,67,8.17,22,Low
11.39,36,1,0.75,67,163,5.77,50,High
10.35,66,1,2.85,33,125,8.64,30,Medium
3.72,40,0,0.68,78,275,6.02,17,Low
5.96,143,1,2.92,70,212,8.7,41,Medium
2.42,177,0,5.52,55,50,8.0,51,High
11.49,107,0,3.12,79,114,5.17,46,High
7.67,21,1,3.7,14,202,8.18,55,Medium
3.52,62,0,0.94,18,287,3.66,57,Medium
8.39,147,1,0.26,55,246,8.55,35,High
7.8,182,1,0.66,77,230,6.79,17,High
4.94,154,1,3.59,43,77,3.33,42,High
2.25,163,1,0.57,32,206,6.87,18,Medium
8.39,199,1,2.26,7,265,8.85,58,High
6.72,131,0,3.3,74,148,3.42,56,High
9.5,55,0,2.33,31,158,6.33,16,Low
6.72,73,1,0.98,6,108,7.49,41,Low
10.37,139,1,1.64,42,85,7.86,35,Medium
7.07,63,0,5.57,7,291,5.48,18,High
7.17,116,0,4.06,20,118,4.22,44,High
10.64,60,0,2.98,44,197,3.25,54,High
5.44,190,0,0.08,6,208,6.48,30,Medium
